5, 500, 421, 445, 262, 419
5, 500, 432, 500, 280, 500, 280
5, 500, 432, 500, 384, 500, 116
5, 20, 20, 20, 6, 20, 14
5, 20, 15, 17, 14, 17, 8
5, 20, 17, 17, 17, 19, 17
5, 20, 20, 20, 12, 20, 13
5, 20, 13, 20, 10, 20, 15
5, 200, 190, 200, 145, 200, 145
5, 200, 179, 200, 179, 200, 179
5, 20, 12, 20, 11, 20, 11
5, 20, 15, 15, 14, 16, 14
5, 20, 13, 17, 5, 13, 15
5, 20, 18, 18, 17, 19, 17
5, 20, 15, 19, 1, 16, 19
5, 20, 19, 19, 19, 19, 10
5, 20, 20, 18, 15, 18, 6
5, 500, 414, 400, 414, 413, 243
5, 500, 426, 500, 283, 500, 182
5, 500, 430, 500, 284, 500, 377
5, 500, 424, 459, 424, 463, 225
5, 500, 452, 452, 452, 449, 206
5, 500, 500, 500, 0, 500, 500
5, 500, 334, 346, 202, 319, 298
5, 500, 369, 374, 369, 354, 369
5, 500, 442, 434, 214, 429, 434
5, 500, 425, 452, 331, 444, 326
5, 500, 411, 471, 411, 469, 411
5, 500, 405, 463, 405, 455, 248
5, 500, 407, 460, 407, 467, 240
5, 500, 429, 447, 320, 437, 324
5, 500, 410, 415, 369, 398, 287
5, 500, 428, 450, 313, 448, 336
5, 500, 403, 406, 403, 400, 248
5, 500, 421, 500, 281, 500, 361
5, 500, 350, 326, 214, 335, 315
5, 500, 370, 373, 325, 361, 148
5, 500, 410, 431, 364, 410, 364
5, 500, 431, 409, 370, 422, 136
5, 500, 429, 500, 376, 500, 272
5, 500, 428, 415, 380, 416, 380
5, 500, 375, 379, 297, 398, 182
5, 500, 411, 410, 411, 403, 169
5, 500, 426, 432, 68, 419, 432
5, 500, 308, 319, 308, 281, 230
5, 500, 410, 460, 410, 459, 470
5, 500, 445, 438, 213, 446, 433
5, 500, 377, 357, 320, 364, 375
5, 500, 435, 430, 389, 436, 435
5, 500, 363, 357, 164, 362, 360
5, 500, 429, 456, 322, 457, 452
5, 500, 370, 357, 321, 351, 351
